component,rank,gene_id,gene_name,loading,singular_value
1,1,ENSG00000130656,HBZ,-0.28878849778401855,41.47171522672232
1,2,ENSG00000196565,HBG2,-0.22531222643759205,41.47171522672232
1,3,ENSG00000204482,LST1,0.16555751359246856,41.47171522672232
1,4,ENSG00000213934,HBG1,-0.13943719318657047,41.47171522672232
1,5,ENSG00000204472,AIF1,0.13723331933202235,41.47171522672232
1,6,ENSG00000026025,VIM,0.13400663981733857,41.47171522672232
1,7,ENSG00000227706,RP11-301G19.1,0.13101816808640523,41.47171522672232
1,8,ENSG00000250361,GYPB,-0.12726623855581864,41.47171522672232
1,9,ENSG00000011600,TYROBP,0.12563968935661932,41.47171522672232
1,10,ENSG00000205542,TMSB4X,0.1216345340052221,41.47171522672232
1,11,ENSG00000197766,CFD,0.11770976800383248,41.47171522672232
1,12,ENSG00000163191,S100A11,0.11046269599001277,41.47171522672232
1,13,ENSG00000170180,GYPA,-0.10982686496158144,41.47171522672232
1,14,ENSG00000119535,CSF3R,0.10900614134281048,41.47171522672232
1,15,ENSG00000279669,RP11-717F1.1,-0.10454467774761676,41.47171522672232
1,16,ENSG00000142669,SH3BGRL3,0.10184900082736945,41.47171522672232
1,17,ENSG00000146278,PNRC1,0.09652060448380334,41.47171522672232
1,18,ENSG00000130203,APOE,-0.09505236465903531,41.47171522672232
1,19,ENSG00000111348,ARHGDIB,0.09407920596527891,41.47171522672232
1,20,ENSG00000118640,VAMP8,0.09280629169517975,41.47171522672232
2,1,ENSG00000130656,HBZ,-0.28187836601132554,29.245654671123408
2,2,ENSG00000196565,HBG2,-0.21183434396953607,29.245654671123408
2,3,ENSG00000250361,GYPB,-0.16492995644661898,29.245654671123408
2,4,ENSG00000158578,ALAS2,-0.16006579840449905,29.245654671123408
2,5,ENSG00000251562,MALAT1,-0.15372375867073143,29.245654671123408
2,6,ENSG00000213934,HBG1,-0.14567235726793326,29.245654671123408
2,7,ENSG00000245532,NEAT1,-0.13211692738768663,29.245654671123408
2,8,ENSG00000239672,NME1,0.12203328085745913,29.245654671123408
2,9,ENSG00000099901,RANBP1,0.1197209337406571,29.245654671123408
2,10,ENSG00000116649,SRM,0.11948318686464494,29.245654671123408
2,11,ENSG00000187514,PTMA,0.11633632533956163,29.245654671123408
2,12,ENSG00000108106,UBE2S,0.11260393208187565,29.245654671123408
2,13,ENSG00000206172,HBA1,-0.10807384504469453,29.245654671123408
2,14,ENSG00000069482,GAL,0.1069621284093664,29.245654671123408
2,15,ENSG00000165732,DDX21,0.10678418208514043,29.245654671123408
2,16,ENSG00000134333,LDHA,0.09918871013276456,29.245654671123408
2,17,ENSG00000074800,ENO1,0.09766879154817627,29.245654671123408
2,18,ENSG00000144381,HSPD1,0.09764669127433946,29.245654671123408
2,19,ENSG00000116161,CACYBP,0.09742960918955261,29.245654671123408
2,20,ENSG00000115758,ODC1,0.09631057070072066,29.245654671123408
3,1,ENSG00000130656,HBZ,-0.36384317712412145,20.24700447616611
3,2,ENSG00000204482,LST1,-0.17157552879322244,20.24700447616611
3,3,ENSG00000104341,LAPTM4B,0.1582176898580243,20.24700447616611
3,4,ENSG00000120833,SOCS2,0.1534149823734736,20.24700447616611
3,5,ENSG00000160932,LY6E,0.14349073784709007,20.24700447616611
3,6,ENSG00000206172,HBA1,-0.14145865894445903,20.24700447616611
3,7,ENSG00000197766,CFD,-0.1367754338150656,20.24700447616611
3,8,ENSG00000250361,GYPB,0.1327551542769251,20.24700447616611
3,9,ENSG00000196565,HBG2,-0.1266268621191244,20.24700447616611
3,10,ENSG00000189171,S100A13,0.12530778840043114,20.24700447616611
3,11,ENSG00000149516,MS4A3,-0.11475056457466706,20.24700447616611
3,12,ENSG00000092067,CEBPE,-0.11112905767296297,20.24700447616611
